municipality,year,inc
Copenhagen,1989,82895.0
Frederiksberg,1989,94626.0
Dragør,1989,106167.0
Tårnby,1989,95053.0
Albertslund,1989,90616.0
Ballerup,1989,93381.0
Brøndby,1989,91158.0
Gentofte,1989,117680.0
Gladsaxe,1989,91003.0
Glostrup,1989,92205.0
Herlev,1989,93629.0
Hvidovre,1989,90263.0
Høje-Taastrup,1989,94577.0
Ishøj,1989,90822.0
Lyngby-Taarbæk,1989,104507.0
Rødovre,1989,90852.0
Vallensbæk,1989,104844.0
Allerød,1989,105181.0
Egedal,1989,100064.0
Fredensborg,1989,99634.0
Frederikssund,1989,92340.0
Furesø,1989,107009.0
Gribskov,1989,93800.0
Halsnæs,1989,88092.0
Helsingør,1989,91762.0
Hillerød,1989,97677.0
Hørsholm,1989,119228.0
Rudersdal,1989,116991.0
Bornholm,1989,78758.0
Greve,1989,99992.0
Køge,1989,91116.0
Lejre,1989,96478.0
Roskilde,1989,95164.0
Solrød,1989,102915.0
Faxe,1989,85918.0
Guldborgsund,1989,81213.0
Holbæk,1989,86649.0
Kalundborg,1989,85567.0
Lolland,1989,78670.0
Næstved,1989,86388.0
Odsherred,1989,82785.0
Ringsted,1989,87934.0
Slagelse,1989,84485.0
Sorø,1989,86083.0
Stevns,1989,88700.0
Vordingborg,1989,82286.0
Assens,1989,81007.0
Faaborg-Midtfyn,1989,81250.0
Kerteminde,1989,85736.0
Langeland,1989,76412.0
Middelfart,1989,83358.0
Nordfyns,1989,81134.0
Nyborg,1989,82704.0
Odense,1989,83170.0
Svendborg,1989,82263.0
Ærø,1989,78922.0
Billund,1989,86864.0
Esbjerg,1989,85927.0
Fanø,1989,90760.0
Fredericia,1989,86449.0
Haderslev,1989,82647.0
Kolding,1989,84482.0
Sønderborg,1989,84828.0
Tønder,1989,82660.0
Varde,1989,83814.0
Vejen,1989,81480.0
Vejle,1989,84493.0
Aabenraa,1989,83883.0
Favrskov,1989,86404.0
Hedensted,1989,83975.0
Horsens,1989,84911.0
Norddjurs,1989,80872.0
Odder,1989,86440.0
Randers,1989,81804.0
Samsø,1989,75489.0
